ID_EQUIPO,PUNTO_MEDICION,CAPACIDAD_MAXIMA_GBS,FECHA_INICIO_MEDICION,FECHA_HORA,FECHA_FIN_MEDICION,PASO,LATENCIA_MS,PORCENTAJE_PACK_LOSS,INBOUND_BITS,OUTBOUND_BITS,MEDIDA
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 03:00:00.000,2020-06-21 19:00:00.000,7200,0.68648,0.0,663227.344,4269395.0435,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 05:00:00.000,2020-06-21 19:00:00.000,7200,0.72556,0.0,2675366.3373,5300534.3071,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 07:00:00.000,2020-06-21 19:00:00.000,7200,0.75157,0.0,3565196.6963,6386130.1806,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 09:00:00.000,2020-06-21 19:00:00.000,7200,0.64984,0.0,4677084.5016,7492905.0792,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 11:00:00.000,2020-06-21 19:00:00.000,7200,0.76681,0.0,2212646.8649,5718880.6609,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 13:00:00.000,2020-06-21 19:00:00.000,7200,0.68581,0.0,1620356.1084,5624674.9343,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 15:00:00.000,2020-06-21 19:00:00.000,7200,1.62667,0.0,1183786.1994,5099150.7856,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 17:00:00.000,2020-06-21 19:00:00.000,7200,0.70791,0.0,1201449.8774,4007156.2975,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 19:00:00.000,2020-06-21 19:00:00.000,7200,0.6190100000000001,0.0,1029563.8014,3607036.5189,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 21:00:00.000,2020-06-21 19:00:00.000,7200,0.6020800000000001,0.0,1335972.283,4469433.4526,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-07 23:00:00.000,2020-06-21 19:00:00.000,7200,0.64017,0.0,1030267.4281,2698516.8891,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 01:00:00.000,2020-06-21 19:00:00.000,7200,0.75964,0.0,613414.08427,2454914.1443,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 03:00:00.000,2020-06-21 19:00:00.000,7200,0.70575,0.0,681262.80017,6429078.2071,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 05:00:00.000,2020-06-21 19:00:00.000,7200,0.69394,0.0,1211984.1287,4403266.0819999995,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 07:00:00.000,2020-06-21 19:00:00.000,7200,0.62264,0.0,1375788.7979,4434646.0771,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 09:00:00.000,2020-06-21 19:00:00.000,7200,0.68433,0.0,1970126.0444,6036944.786,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 11:00:00.000,2020-06-21 19:00:00.000,7200,0.7185199999999999,0.0,8311149.1793,10857248.064000001,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 13:00:00.000,2020-06-21 19:00:00.000,7200,0.62066,0.0,5624265.191000001,8289013.466,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 15:00:00.000,2020-06-21 19:00:00.000,7200,0.61405,0.0,8015315.1231,12471055.405,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 17:00:00.000,2020-06-21 19:00:00.000,7200,0.72402,0.0,9855364.3763,15928722.352,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 19:00:00.000,2020-06-21 19:00:00.000,7200,0.63865,0.0,8426240.5652,12480076.95,MB
25,ABA - Abasto Cliente,1.0,2020-06-04 17:00:00.000,2020-06-08 21:00:00.000,2020-06-21 19:00:00.000,7200,0.7161,0.0,4422268.5036,10170082.319,MB
